repository_language,active_repos_by_url,year,quarter
null,256717,2014,3
null,359687,2014,2
null,283083,2014,1
null,236189,2013,4
null,199438,2013,3
null,194402,2013,2
null,296085,2013,1
null,156535,2012,4
null,152179,2012,3
null,102068,2012,2
null,26609,2012,1
ABAP,14,2014,3
ABAP,5,2014,2
ABAP,7,2014,1
ABAP,5,2013,4
ABAP,4,2013,3
ABAP,5,2013,2
ANTLR,54,2014,3
ANTLR,62,2014,2
ANTLR,48,2014,1
ANTLR,12,2013,4
ASP,807,2014,3
ASP,1312,2014,2
ASP,1158,2014,1
ASP,892,2013,4
ASP,676,2013,3
ASP,748,2013,2
ASP,511,2013,1
ASP,443,2012,4
ASP,323,2012,3
ASP,246,2012,2
ASP,61,2012,1
ATS,18,2014,3
ATS,20,2014,2
ActionScript,1380,2014,3
ActionScript,1997,2014,2
ActionScript,2130,2014,1
ActionScript,2114,2013,4
ActionScript,2037,2013,3
ActionScript,2192,2013,2
ActionScript,1974,2013,1
ActionScript,2120,2012,4
ActionScript,1922,2012,3
ActionScript,1747,2012,2
ActionScript,601,2012,1
Ada,64,2014,3
Ada,123,2014,2
Ada,122,2014,1
Ada,141,2013,4
Ada,99,2013,3
Ada,83,2013,2
Ada,91,2013,1
Ada,89,2012,4
Ada,36,2012,3
Ada,76,2012,2
Ada,13,2012,1
Agda,59,2014,3
Agda,105,2014,2
Agda,94,2014,1
Agda,29,2013,4
Alloy,11,2014,3
Alloy,26,2014,2
Apex,253,2014,3
Apex,334,2014,2
Apex,281,2014,1
Apex,240,2013,4
Apex,185,2013,3
Apex,184,2013,2
Apex,170,2013,1
Apex,158,2012,4
Apex,127,2012,3
Apex,100,2012,2
Apex,8,2012,1
AppleScript,179,2014,3
AppleScript,425,2014,2
AppleScript,345,2014,1
AppleScript,145,2013,4
AppleScript,116,2013,3
AppleScript,134,2013,2
AppleScript,114,2013,1
AppleScript,92,2012,4
AppleScript,34,2012,3
Arc,12,2014,3
Arc,31,2014,2
Arc,23,2014,1
Arc,21,2013,4
Arc,14,2013,3
Arc,24,2013,2
Arc,9,2013,1
Arc,15,2012,4
Arc,9,2012,3
Arc,17,2012,2
Arc,8,2012,1
Arduino,2766,2014,3
Arduino,3869,2014,2
Arduino,3363,2014,1
Arduino,2685,2013,4
Arduino,2123,2013,3
Arduino,1990,2013,2
Arduino,1362,2013,1
Arduino,1267,2012,4
Arduino,907,2012,3
Arduino,666,2012,2
Arduino,164,2012,1
AspectJ,40,2014,3
AspectJ,54,2014,2
Assembly,1461,2014,3
Assembly,1629,2014,2
Assembly,1453,2014,1
Assembly,1191,2013,4
Assembly,859,2013,3
Assembly,924,2013,2
Assembly,725,2013,1
Assembly,710,2012,4
Assembly,486,2012,3
Assembly,528,2012,2
Assembly,141,2012,1
Augeas,23,2014,3
Augeas,33,2014,2
Augeas,20,2014,1
Augeas,19,2013,4
Augeas,15,2013,3
Augeas,18,2013,2
Augeas,12,2013,1
Augeas,17,2012,4
Augeas,9,2012,3
Augeas,8,2012,2
AutoHotkey,297,2014,3
AutoHotkey,355,2014,2
AutoHotkey,308,2014,1
AutoHotkey,290,2013,4
AutoHotkey,247,2013,3
AutoHotkey,239,2013,2
AutoHotkey,161,2013,1
AutoHotkey,146,2012,4
AutoHotkey,130,2012,3
AutoHotkey,116,2012,2
AutoHotkey,37,2012,1
AutoIt,118,2014,3
AutoIt,158,2014,2
AutoIt,160,2014,1
AutoIt,39,2013,4
Awk,80,2014,3
Awk,102,2014,2
Awk,109,2014,1
Awk,87,2013,4
Awk,64,2013,3
Awk,71,2013,2
Awk,17,2013,1
BlitzBasic,192,2014,3
BlitzBasic,250,2014,2
BlitzBasic,233,2014,1
BlitzBasic,93,2013,4
BlitzMax,17,2014,3
Bluespec,15,2014,3
Bluespec,8,2014,2
Bluespec,4,2014,1
Bluespec,3,2013,4
Boo,14,2014,3
Boo,16,2014,2
Boo,36,2014,1
Boo,29,2013,4
Boo,19,2013,3
Boo,24,2013,2
Boo,16,2013,1
Boo,17,2012,4
Boo,20,2012,3
Boo,18,2012,2
Boo,9,2012,1
Brightscript,24,2014,3
Brightscript,40,2014,2
Brightscript,34,2014,1
Brightscript,12,2013,4
Bro,12,2014,3
Bro,19,2014,2
Bro,19,2014,1
Bro,29,2013,4
Bro,20,2013,3
Bro,11,2013,2
Bro,13,2013,1
Bro,13,2012,4
Bro,13,2012,3
Bro,8,2012,2
Bro,1,2012,1
C,43631,2014,3
C,65117,2014,2
C,62762,2014,1
C,55719,2013,4
C,45784,2013,3
C,45136,2013,2
C,36608,2013,1
C,31734,2012,4
C,25473,2012,3
C,24080,2012,2
C,7855,2012,1
C#,28484,2014,3
C#,41591,2014,2
C#,35897,2014,1
C#,28638,2013,4
C#,25300,2013,3
C#,24875,2013,2
C#,18728,2013,1
C#,17696,2012,4
C#,13607,2012,3
C#,12708,2012,2
C#,3863,2012,1
C++,49438,2014,3
C++,70112,2014,2
C++,63094,2014,1
C++,53392,2013,4
C++,44172,2013,3
C++,40206,2013,2
C++,33472,2013,1
C++,27655,2012,4
C++,23920,2012,3
C++,21468,2012,2
C++,7865,2012,1
CLIPS,11,2014,3
CLIPS,17,2014,2
CLIPS,35,2014,1
CLIPS,18,2013,4
CLIPS,12,2013,3
CLIPS,17,2013,2
CLIPS,7,2013,1
COBOL,27,2014,3
COBOL,39,2014,2
COBOL,35,2014,1
COBOL,22,2013,4
COBOL,2,2013,3
CSS,95642,2014,3
CSS,125066,2014,2
CSS,112743,2014,1
CSS,95491,2013,4
CSS,59770,2013,3
Ceylon,27,2014,3
Ceylon,31,2014,2
Ceylon,33,2014,1
Ceylon,51,2013,4
Ceylon,23,2013,3
Ceylon,19,2013,2
Ceylon,13,2013,1
Ceylon,11,2012,4
Ceylon,3,2012,3
Cirru,1,2014,3
Cirru,3,2014,2
Clean,2,2014,3
Clean,6,2014,2
Clean,10,2014,1
Clean,5,2013,4
Clojure,4327,2014,3
Clojure,5765,2014,2
Clojure,6183,2014,1
Clojure,5719,2013,4
Clojure,3941,2013,3
Clojure,4248,2013,2
Clojure,3669,2013,1
