repository_language,active_repos_by_name,active_repos_by_url,year,quarter
ABAP,2,2,2014,3
ABAP,3,3,2014,2
ABAP,2,2,2014,1
ABAP,3,3,2013,2
ANTLR,13,14,2014,3
ANTLR,17,18,2014,2
ANTLR,19,19,2014,1
ANTLR,2,2,2013,4
ASP,281,287,2014,3
ASP,663,688,2014,2
ASP,520,561,2014,1
ASP,404,447,2013,4
ASP,395,412,2013,3
ASP,421,440,2013,2
ASP,215,222,2013,1
ASP,243,251,2012,4
ASP,173,180,2012,3
ASP,165,170,2012,2
ASP,35,35,2012,1
ATS,1,1,2014,3
ATS,5,7,2014,2
ActionScript,436,466,2014,3
ActionScript,746,825,2014,2
ActionScript,801,868,2014,1
ActionScript,873,949,2013,4
ActionScript,858,940,2013,3
ActionScript,876,941,2013,2
ActionScript,613,674,2013,1
ActionScript,780,844,2012,4
ActionScript,654,708,2012,3
ActionScript,699,746,2012,2
ActionScript,221,227,2012,1
Ada,21,21,2014,3
Ada,45,47,2014,2
Ada,50,52,2014,1
Ada,54,57,2013,4
Ada,43,43,2013,3
Ada,34,35,2013,2
Ada,24,24,2013,1
Ada,48,49,2012,4
Ada,20,20,2012,3
Ada,38,39,2012,2
Ada,6,7,2012,1
Agda,25,25,2014,3
Agda,43,51,2014,2
Agda,38,41,2014,1
Agda,12,12,2013,4
Alloy,1,1,2014,3
Alloy,10,10,2014,2
Apex,125,131,2014,3
Apex,170,173,2014,2
Apex,140,148,2014,1
Apex,117,122,2013,4
Apex,101,102,2013,3
Apex,81,82,2013,2
Apex,73,75,2013,1
Apex,84,85,2012,4
Apex,60,63,2012,3
Apex,46,46,2012,2
Apex,3,3,2012,1
AppleScript,41,41,2014,3
AppleScript,130,134,2014,2
AppleScript,136,140,2014,1
AppleScript,42,42,2013,4
AppleScript,45,45,2013,3
AppleScript,43,45,2013,2
AppleScript,42,42,2013,1
AppleScript,44,44,2012,4
AppleScript,17,17,2012,3
Arc,1,1,2014,3
Arc,9,9,2014,2
Arc,4,5,2014,1
Arc,6,6,2013,4
Arc,2,2,2013,3
Arc,9,9,2013,2
Arc,3,3,2013,1
Arc,4,4,2012,4
Arc,3,4,2012,3
Arc,7,7,2012,2
Arduino,898,950,2014,3
Arduino,1507,1589,2014,2
Arduino,1451,1514,2014,1
Arduino,1107,1193,2013,4
