repository_language,active_repos_by_url,year,quarter
ASP,1,2014,1
ASP,1,2013,3
ASP,1,2013,2
ASP,4,2012,3
ASP,1,2012,2
ActionScript,1,2014,2
ActionScript,3,2014,1
ActionScript,6,2013,4
ActionScript,2,2013,3
ActionScript,6,2013,2
ActionScript,2,2013,1
ActionScript,3,2012,4
ActionScript,2,2012,3
ActionScript,1,2012,1
Ada,1,2014,2
Ada,1,2012,4
Apex,1,2013,1
Apex,7,2012,4
AppleScript,1,2014,3
AppleScript,2,2014,2
AppleScript,1,2013,4
AppleScript,2,2013,3
AppleScript,1,2013,2
AppleScript,1,2013,1
AppleScript,5,2012,4
Arduino,12,2014,3
Arduino,8,2014,2
Arduino,18,2014,1
Arduino,26,2013,4
Arduino,18,2013,3
Arduino,16,2013,2
Arduino,3,2013,1
Arduino,6,2012,4
Arduino,6,2012,3
Arduino,2,2012,2
Arduino,1,2012,1
Assembly,2,2014,2
Assembly,2,2013,4
Assembly,1,2013,3
Assembly,1,2013,2
Assembly,1,2012,3
Assembly,1,2012,2
AutoHotkey,8,2014,3
Awk,1,2014,1
Awk,1,2013,4
BlitzBasic,1,2014,3
Bro,1,2013,4
C,39,2014,3
C,40,2014,2
C,88,2014,1
C,92,2013,4
C,51,2013,3
C,70,2013,2
C,20,2013,1
C,20,2012,4
C,44,2012,3
C,29,2012,2
C,9,2012,1
C#,22,2014,3
C#,3,2014,2
C#,10,2014,1
C#,22,2013,4
C#,26,2013,3
C#,17,2013,2
C#,4,2013,1
C#,2,2012,4
C#,25,2012,3
C#,9,2012,2
C#,3,2012,1
C++,58,2014,3
C++,38,2014,2
C++,68,2014,1
C++,93,2013,4
C++,77,2013,3
C++,54,2013,2
C++,34,2013,1
C++,31,2012,4
C++,49,2012,3
C++,20,2012,2
C++,14,2012,1
CSS,483,2014,3
CSS,179,2014,2
CSS,271,2014,1
CSS,595,2013,4
CSS,220,2013,3
Clojure,3,2014,3
Clojure,6,2014,2
Clojure,1,2014,1
Clojure,5,2013,4
Clojure,8,2013,3
Clojure,9,2013,2
Clojure,3,2013,1
Clojure,6,2012,4
Clojure,3,2012,3
Clojure,7,2012,2
Clojure,1,2012,1
CoffeeScript,10,2014,3
CoffeeScript,16,2014,2
CoffeeScript,11,2014,1
CoffeeScript,21,2013,4
CoffeeScript,16,2013,3
CoffeeScript,15,2013,2
CoffeeScript,4,2013,1
CoffeeScript,6,2012,4
CoffeeScript,6,2012,3
CoffeeScript,9,2012,2
CoffeeScript,2,2012,1
ColdFusion,1,2014,3
ColdFusion,1,2014,1
ColdFusion,1,2013,2
ColdFusion,1,2013,1
ColdFusion,2,2012,4
ColdFusion,3,2012,3
Common Lisp,3,2013,3
Common Lisp,1,2013,2
Common Lisp,1,2012,4
Common Lisp,2,2012,3
Common Lisp,1,2012,2
Common Lisp,2,2012,1
Crystal,1,2014,2
Cuda,2,2014,3
D,2,2013,3
D,1,2012,3
D,1,2012,1
DOT,1,2014,1
Dart,1,2014,3
Dart,2,2014,1
Dart,3,2013,4
Dart,1,2013,3
Dart,2,2013,2
Dart,1,2012,3
Delphi,3,2013,2
Delphi,2,2012,3
Eiffel,1,2013,4
Eiffel,1,2012,4
Elixir,4,2014,3
Elixir,1,2014,1
Elixir,3,2013,4
Elixir,3,2013,3
Elixir,1,2013,2
Elixir,1,2012,4
Emacs Lisp,6,2014,2
Emacs Lisp,1,2014,1
Emacs Lisp,1,2013,4
Emacs Lisp,3,2013,3
Emacs Lisp,2,2013,2
Emacs Lisp,2,2013,1
Emacs Lisp,1,2012,4
Emacs Lisp,10,2012,3
Emacs Lisp,104,2012,2
Erlang,1,2014,3
Erlang,1,2014,2
Erlang,1,2014,1
Erlang,9,2013,4
Erlang,2,2013,3
Erlang,1,2013,2
Erlang,2,2012,4
Erlang,4,2012,3
F#,1,2014,3
F#,1,2014,2
F#,1,2013,4
F#,1,2013,2
F#,1,2013,1
F#,2,2012,3
FORTRAN,2,2014,3
FORTRAN,1,2014,2
FORTRAN,13,2014,1
FORTRAN,1,2013,3
FORTRAN,1,2013,2
FORTRAN,1,2012,4
FORTRAN,1,2012,3
Go,5,2014,3
Go,12,2014,2
Go,8,2014,1
Go,22,2013,4
Go,10,2013,3
Go,12,2013,2
Go,3,2013,1
Go,1,2012,4
Go,8,2012,3
Go,3,2012,2
Groovy,5,2014,3
Groovy,3,2014,2
Groovy,2,2014,1
Groovy,7,2013,4
Groovy,4,2013,3
Groovy,2,2013,2
Groovy,6,2013,1
Groovy,3,2012,3
Groovy,6,2012,2
Groovy,1,2012,1
Haskell,8,2014,3
Haskell,5,2014,2
Haskell,7,2014,1
Haskell,4,2013,4
Haskell,5,2013,3
Haskell,19,2013,2
Haskell,3,2013,1
Haskell,1,2012,4
Haskell,9,2012,3
Haskell,7,2012,2
Haskell,2,2012,1
Haxe,1,2014,3
Haxe,1,2014,1
Haxe,2,2013,4
Haxe,1,2013,3
Haxe,2,2013,2
IDL,1,2014,3
Java,148,2014,3
Java,158,2014,2
Java,146,2014,1
Java,237,2013,4
Java,213,2013,3
Java,191,2013,2
Java,107,2013,1
Java,136,2012,4
Java,128,2012,3
Java,91,2012,2
Java,42,2012,1
JavaScript,681,2014,3
JavaScript,555,2014,2
JavaScript,795,2014,1
JavaScript,542,2013,4
JavaScript,570,2013,3
JavaScript,438,2013,2
JavaScript,168,2013,1
JavaScript,164,2012,4
JavaScript,191,2012,3
JavaScript,99,2012,2
JavaScript,46,2012,1
Julia,1,2014,3
Julia,1,2014,2
Julia,1,2014,1
Julia,2,2013,4
Julia,3,2013,3
Kotlin,1,2012,2
LiveScript,1,2014,1
LiveScript,1,2013,2
Logos,2,2014,3
Logos,1,2014,2
Logos,5,2014,1
Logos,2,2013,3
Logos,3,2013,2
Lua,6,2014,3
Lua,1,2014,2
Lua,5,2014,1
Lua,2,2013,4
Lua,7,2013,3
Lua,9,2013,2
Lua,5,2012,4
Lua,11,2012,3
Lua,3,2012,2
Lua,1,2012,1
M,1,2014,3
M,1,2014,1
M,2,2013,3
Matlab,7,2014,3
Matlab,6,2014,2
Matlab,6,2014,1
Matlab,4,2013,4
Matlab,4,2013,3
Matlab,8,2013,2
Matlab,1,2012,4
Matlab,3,2012,2
Matlab,2,2012,1
Max,2,2014,1
OCaml,1,2013,4
OCaml,1,2013,3
OCaml,1,2012,3
Objective-C,162,2014,3
Objective-C,161,2014,2
Objective-C,148,2014,1
Objective-C,178,2013,4
Objective-C,277,2013,3
Objective-C,158,2013,2
Objective-C,165,2013,1
Objective-C,111,2012,4
Objective-C,52,2012,3
Objective-C,38,2012,2
Objective-C,29,2012,1
Objective-C++,2,2014,2
OpenEdge ABL,1,2014,1
OpenEdge ABL,1,2013,4
PHP,114,2014,3
PHP,147,2014,2
PHP,142,2014,1
PHP,213,2013,4
PHP,156,2013,3
PHP,229,2013,2
PHP,62,2013,1
PHP,89,2012,4
PHP,125,2012,3
PHP,42,2012,2
PHP,29,2012,1
Pascal,2,2013,4
Perl,16,2014,3
Perl,30,2014,2
Perl,20,2014,1
Perl,206,2013,4
Perl,33,2013,3
Perl,28,2013,2
Perl,15,2013,1
Perl,12,2012,4
Perl,23,2012,3
Perl,19,2012,2
Perl,5,2012,1
PowerShell,2,2014,2
PowerShell,1,2013,3
PowerShell,1,2013,2
PowerShell,1,2012,4
Processing,4,2014,3
Processing,12,2014,2
Processing,13,2014,1
Processing,21,2013,4
Processing,7,2013,3
Processing,11,2013,2
Processing,1,2013,1
Prolog,1,2014,3
Prolog,1,2013,4
Prolog,2,2012,4
Prolog,1,2012,3
Prolog,1,2012,1
Puppet,2,2014,3
Puppet,2,2014,2
Puppet,1,2014,1
Puppet,5,2013,4
Puppet,10,2013,3
Puppet,6,2013,2
Puppet,2,2013,1
Puppet,2,2012,4
Puppet,5,2012,3
Puppet,4,2012,2
Pure Data,2,2012,3
Python,192,2014,3
Python,228,2014,2
Python,187,2014,1
Python,177,2013,4
Python,207,2013,3
Python,152,2013,2
Python,44,2013,1
Python,64,2012,4
Python,157,2012,3
Python,83,2012,2
Python,38,2012,1
R,106,2014,3
R,112,2014,2
R,440,2014,1
R,24,2013,4
R,20,2013,3
R,17,2013,2
R,7,2013,1
R,7,2012,4
R,5,2012,2
R,1,2012,1
Racket,3,2014,3
Racket,1,2013,4
Racket,3,2013,3
Racket,1,2013,1
Racket,2,2012,4
Racket,1,2012,2
Rebol,1,2014,2
Ruby,421,2014,3
Ruby,375,2014,2
Ruby,310,2014,1
Ruby,417,2013,4
Ruby,297,2013,3
Ruby,284,2013,2
Ruby,113,2013,1
Ruby,152,2012,4
Ruby,285,2012,3
Ruby,192,2012,2
Ruby,75,2012,1
Rust,1,2014,3
Rust,1,2014,2
Rust,1,2013,4
Rust,1,2013,3
Rust,1,2012,4
Rust,1,2012,3
Scala,4,2014,3
Scala,8,2014,2
Scala,10,2014,1
Scala,14,2013,4
Scala,13,2013,3
