"min_date","max_date","sum_total","sum_VimL","sum_Objective-C","sum_Java","sum_JavaScript","sum_C","sum_Pascal","sum_C#","sum_CSS","sum_Python","sum_PHP","sum_OCaml","sum_R","sum_Ruby","sum_Go","sum_Scala","sum_C++","sum_Elixir","sum_Shell","sum_Puppet","sum_Haskell","sum_Clojure","sum_Perl","sum_CoffeeScript","sum_Matlab","sum_Apex","sum_D","sum_XSLT","sum_Groovy","sum_Kotlin","sum_Julia","sum_Dart","sum_TeX","sum_Arduino","sum_Swift","sum_Emacs Lisp","sum_VHDL","sum_TypeScript","sum_Rust","sum_nesC","sum_Erlang","sum_Processing","sum_Haxe","sum_Lua","sum_PowerShell","sum_Racket","sum_Common Lisp","sum_Dylan","sum_ASP","sum_IDL","sum_Verilog","sum_FORTRAN","sum_AutoIt","sum_Perl6","sum_VCL","sum_DM","sum_Assembly","sum_Cuda","sum_LiveScript","sum_F#","sum_Logos","sum_Max","sum_SQL","sum_Scheme","sum_Objective-J","sum_ActionScript","sum_Game Maker Language","sum_XQuery","sum_Stata","sum_M","sum_Agda","sum_Eiffel","sum_Nimrod","sum_BlitzBasic","sum_Visual Basic","sum_Objective-C++","sum_Xtend","sum_Tcl","sum_XML","sum_Mathematica","sum_Nemerle","sum_OpenEdge ABL","sum_Elm","sum_Augeas","sum_Smalltalk","sum_Standard ML","sum_Vala","sum_Coq","sum_SuperCollider","sum_DOT","sum_AppleScript","sum_xBase","sum_Fantom","sum_Gnuplot","sum_Red","sum_HaXe","sum_Bluespec","sum_Mercury","sum_SAS","sum_Ceylon","sum_Slash","sum_XC","sum_ColdFusion","sum_Prolog","sum_NetLogo","sum_Rebol","sum_AutoHotkey","sum_AspectJ","sum_Forth","sum_MoonScript","sum_Arc","sum_Oxygene","sum_Propeller Spin","sum_Lasso","sum_ABAP","sum_Pure Data","sum_Ada","sum_Awk","sum_Zephir","sum_Inform 7","sum_PAWN","sum_Frege","sum_Gosu","sum_SystemVerilog","sum_Alloy","sum_Parrot","sum_ATS","sum_GAP","sum_Squirrel","sum_Delphi","sum_UnrealScript","sum_Pan","sum_J","sum_Factor","sum_GAMS","sum_Idris","sum_PureScript","sum_Brightscript","sum_SourcePawn","sum_Crystal","sum_Ragel in Ruby Host","sum_KRL","sum_ANTLR","sum_COBOL","sum_Scilab","sum_Glyph","sum_Pike","sum_Component Pascal","sum_ooc","sum_REALbasic","sum_Clean","sum_Io","sum_wisp","sum_Logtalk","sum_eC","sum_Bro","sum_FLUX","sum_Nu","sum_Volt","sum_RobotFramework","sum_Ecl","sum_Monkey","sum_Boo","sum_Cirru","sum_CLIPS","sum_DCPU-16 ASM","sum_Dogescript","sum_E","sum_Fancy","sum_Grammatical Framework","sum_Harbour","sum_Hy","sum_Ioke","sum_JSONiq","sum_Omgrofl","sum_Opa","sum_PogoScript","sum_Rouge","sum_Self","sum_Shen","sum_Turing","sum_TXL","sum_XProc","sum_Mirah","sum_Ox","sum_Moocode","sum_Nix","sum_Isabelle","sum_Xojo","sum_BlitzMax","sum_Grace","sum_Nit","sum_null","sum_Zimpl"
"2014-08-16T00:00:00.000Z","2014-08-16T23:00:00.000Z",238859,1607,4925,20871,40707,11346,166,5716,17153,20133,15666,220,1532,15244,3151,1632,10413,399,6382,391,1317,769,2097,1932,292,32,265,223,349,9,605,257,824,316,937,827,73,671,1114,22,323,137,150,1336,237,51,171,5,47,102,72,66,15,28,9,400,457,19,127,110,38,13,31,156,12,187,28,8,17,35,8,8,41,68,128,62,18,26,34,29,0,21,17,4,8,25,125,23,0,2,26,3,0,3,0,2,0,6,4,14,0,1,9,27,8,1,47,6,1,4,3,0,8,15,0,4,6,16,3,5,12,0,53,5,0,19,34,11,1,0,0,0,0,1,4,7,46,11,58,5,0,0,3,1,3,0,4,4,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,1,0,0,0,0,0,0,0,0,0,146,12,24,3,0,0,42514,0
"2014-08-15T00:00:00.000Z","2014-08-15T23:00:00.000Z",343133,2000,8103,30825,61854,15198,155,7610,22575,33194,21583,312,2060,23563,4974,2559,17027,294,8104,680,1402,1161,3015,2793,505,59,255,317,720,22,450,348,1197,296,1053,1117,73,887,1119,72,541,139,161,1399,501,44,165,3,105,100,38,179,47,30,6,318,451,42,82,155,66,42,53,232,34,206,38,15,15,11,13,21,52,78,208,94,73,73,25,68,11,30,33,0,18,36,156,26,0,9,24,15,0,26,3,1,8,20,8,23,0,2,151,69,6,6,51,1,0,1,0,0,30,6,0,6,15,15,2,11,1,2,77,8,50,5,10,14,31,0,0,0,0,7,0,4,62,14,62,5,0,4,6,0,4,0,4,10,17,4,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,52,0,1,0,0,0,0,0,0,0,5,0,0,164,17,4,0,0,0,56208,0
"2014-08-14T00:00:00.000Z","2014-08-14T23:00:00.000Z",405433,2396,7977,38874,76435,15940,153,9166,26489,38741,27611,479,2121,28927,6050,3139,18062,253,9175,986,1498,1171,2580,3545,754,150,349,912,846,33,518,432,1527,352,1050,1124,42,843,1254,90,541,182,144,1435,564,51,245,0,104,70,46,233,40,26,32,485,491,64,137,202,42,28,125,204,54,387,31,34,5,23,36,15,34,51,188,105,38,1126,2,95,7,48,18,1,25,47,122,54,2,31,24,7,0,15,3,2,15,19,4,5,3,11,124,46,10,10,37,0,8,21,1,0,45,2,5,19,14,8,0,3,5,3,55,3,0,9,39,28,10,0,0,2,1,20,2,1,15,3,37,9,4,7,5,0,1,0,12,3,13,0,0,22,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,75,0,1,3,0,0,0,1,0,0,1,0,0,223,18,9,7,0,0,64206,0
"2014-08-13T00:00:00.000Z","2014-08-13T23:00:00.000Z",412720,2461,8590,39997,76408,16960,198,9537,28279,40084,29219,583,2307,29823,6206,4051,18860,278,9429,986,1503,1255,2699,3491,653,98,491,541,864,40,625,559,1503,379,1179,1209,46,926,1067,99,665,92,225,1746,389,75,173,1,169,118,92,255,9,13,41,490,379,79,117,131,38,36,108,216,34,459,60,10,31,17,11,19,88,93,258,87,24,63,2,74,7,44,17,17,12,33,85,56,2,10,8,8,0,15,2,2,7,18,11,7,3,2,160,102,2,10,41,3,3,8,0,0,26,0,1,36,11,19,1,2,1,1,84,4,0,2,28,17,13,3,3,22,1,9,0,3,57,7,52,7,0,2,13,0,7,0,6,9,1,3,0,9,0,2,0,1,0,1,0,0,0,5,5,0,0,0,0,0,0,0,3,8,0,37,0,0,3,0,0,0,0,0,0,1,0,0,182,10,0,0,0,0,60837,0
"2014-08-12T00:00:00.000Z","2014-08-12T23:00:00.000Z",413807,2517,8624,42280,79179,15292,219,9599,28501,39298,29305,540,2038,29477,6275,3493,18956,334,9587,794,1648,1172,2533,3405,666,149,364,499,885,47,628,400,1625,400,1007,1147,69,843,1175,60,909,162,150,1860,399,120,192,3,147,112,48,183,16,8,18,398,367,38,104,171,76,52,185,214,44,610,35,34,63,25,30,46,51,68,285,103,61,72,1,103,11,52,17,6,16,36,80,50,5,14,33,10,0,36,2,1,11,13,10,26,9,7,160,41,3,5,56,1,0,9,1,0,25,2,0,29,12,15,0,9,7,0,33,13,0,1,16,28,10,0,0,0,1,2,3,14,44,13,75,1,1,2,1,0,0,0,9,7,44,0,0,7,17,1,0,0,0,1,1,0,0,0,21,0,0,0,0,0,0,0,0,1,0,54,0,0,3,0,0,0,0,0,1,3,0,0,227,7,1,2,0,0,59726,3
"2014-08-11T00:00:00.000Z","2014-08-11T23:00:00.000Z",405474,2410,8930,40181,75201,16721,207,9475,30000,38506,28757,525,2313,28527,5972,3273,18570,361,9459,788,1476,1303,2356,3221,692,111,314,474,985,30,744,405,1686,371,1193,1222,56,838,1154,50,766,150,140,1703,442,96,216,0,137,83,48,238,20,10,21,434,346,45,142,252,60,36,116,273,63,435,45,46,9,14,20,18,26,107,222,85,44,114,6,50,6,62,16,0,48,30,96,28,9,18,24,15,0,6,0,0,4,13,1,23,3,9,130,54,9,0,70,0,0,1,1,0,27,4,0,11,12,9,4,5,10,0,50,18,0,4,15,16,3,0,2,4,0,6,0,8,75,10,35,15,3,43,11,1,4,1,9,10,1,0,0,86,1,3,0,0,0,1,0,0,3,3,0,0,11,0,0,0,0,6,0,0,0,19,0,0,0,0,0,0,0,0,1,1,0,0,192,4,1,3,0,1,58101,0
"2014-08-10T00:00:00.000Z","2014-08-10T23:00:00.000Z",281351,1833,6111,26835,49773,11502,130,6541,25275,24877,19212,321,3391,17033,4348,2010,12596,328,6808,303,1364,949,1583,1606,335,15,207,296,588,18,517,206,866,357,1042,1133,44,691,678,22,306,117,174,1746,217,78,178,2,112,53,82,88,6,10,8,487,258,18,142,202,78,13,43,196,25,269,25,29,17,2,13,21,17,71,166,72,53,32,5,39,3,51,21,12,36,24,78,34,2,13,13,4,0,4,6,1,3,3,3,15,3,2,37,30,0,0,64,0,2,6,1,0,24,0,0,10,17,8,1,13,3,0,70,17,0,16,1,10,3,2,0,0,0,1,1,3,59,10,71,31,0,4,2,0,1,2,3,21,0,2,0,13,0,0,0,0,0,0,1,1,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,147,8,0,0,0,0,43070,0
"2014-08-09T00:00:00.000Z","2014-08-09T23:00:00.000Z",236878,1824,4553,21446,40858,10185,108,5769,21452,21450,16321,209,2004,13683,2906,1722,11057,206,5734,306,1184,819,1486,1585,387,10,204,262,638,15,348,198,817,308,815,879,21,596,882,5,269,66,142,1648,251,83,95,3,89,35,90,97,10,27,19,436,177,16,203,116,31,16,26,149,7,177,24,13,8,14,2,13,23,83,88,48,41,22,2,23,3,50,15,0,7,54,46,31,4,20,11,2,0,5,0,3,0,8,9,21,1,1,41,39,4,2,45,3,5,5,0,0,42,0,0,6,15,2,3,18,3,0,53,1,0,10,40,17,2,1,0,0,0,0,0,12,90,1,51,16,0,0,0,1,4,0,3,6,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,200,5,24,2,0,1,37851,0
"2014-08-08T00:00:00.000Z","2014-08-08T23:00:00.000Z",355440,2325,7224,33230,64738,13997,171,8054,23482,34883,25187,403,2345,24250,5160,3045,16860,254,8247,618,1327,1049,2350,2763,580,81,342,345,821,37,606,467,1272,295,942,974,16,726,1068,71,733,128,216,1751,355,62,136,3,172,74,60,196,28,17,34,300,377,37,177,206,49,53,83,261,25,355,31,25,16,19,7,8,17,56,199,86,11,83,2,44,5,27,46,4,32,38,68,57,1,10,13,11,0,21,4,2,65,18,49,16,1,1,108,91,3,0,166,0,7,18,1,0,53,4,1,9,14,4,4,14,22,43,35,1,0,1,74,21,20,2,1,0,3,1,0,6,44,4,79,9,0,4,4,9,2,6,4,5,5,1,0,6,3,4,0,1,24,2,0,0,0,0,0,1,1,0,1,0,0,0,7,11,0,21,0,0,0,0,0,0,1,0,0,3,0,0,176,9,1,0,0,2,56676,1
"2014-08-07T00:00:00.000Z","2014-08-07T23:00:00.000Z",408344,2723,8673,40653,78204,15384,225,8890,26372,42157,29324,471,2397,29010,5758,3289,19285,250,9091,899,1459,1279,2821,3034,649,121,318,411,988,53,602,447,1468,328,1176,1245,42,1123,1176,65,619,153,232,1825,466,82,138,0,171,74,59,322,22,24,39,343,403,42,126,260,45,32,98,274,14,461,41,40,12,21,10,20,56,99,247,92,22,86,1,50,3,61,33,5,26,34,57,66,1,31,20,26,0,45,2,3,16,10,28,18,1,11,111,90,3,0,302,1,4,4,2,1,13,3,1,24,21,4,0,11,15,1,77,6,0,3,34,28,8,0,0,0,2,2,1,10,75,0,27,17,0,16,3,32,1,1,9,10,3,2,0,8,0,8,0,1,0,1,0,0,0,0,4,1,0,0,3,0,0,3,0,8,0,7,0,0,0,0,0,0,1,0,0,3,0,0,145,2,2,4,0,0,57687,0
