repository_language,active_repos_by_name,active_repos_by_url,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
Ruby,58165,104888,3102506,13993381195,451858626,73692726,1772692442
Java,53344,67374,2805805,47923950006,47865074,22397002,152499498
Python,46466,67815,2401530,16565334032,55804991,32903174,249945109
C,24020,34172,1572749,63793173892,36013409,53049511,175443313
JavaScript,87057,121144,4921141,36093149906,592486863,247587158,3818583164
C++,20625,28541,1337673,37162834932,49766857,35654355,152467966
Shell,11388,20371,595725,9367236602,19574784,6368031,78255681
Objective-C,14130,19342,632838,3131383378,30783264,6842133,202367300
PHP,44408,60641,2267239,16812189618,103470433,36493368,407365293
CoffeeScript,4134,5346,195236,365662443,7896052,3024152,76626641
Scilab,48,53,2409,95236030,4010,678,7994
C#,13419,17461,558011,9468070774,13050324,6587427,54442009
Clojure,2694,3779,120363,1488502563,2174230,479477,16525990
ActionScript,2387,2865,75303,768463003,1315072,831401,6598172
Assembly,583,706,26173,174271435,1378853,40381,12367173
VimL,3575,13321,286872,512885971,7068119,952367,50009755
Perl,8508,11187,308479,3856308701,2922547,3153804,15014945
Erlang,1823,3016,87683,177185877,1804382,469151,8133517
Haskell,3230,4320,130928,186838752,895414,1256671,4047030
Scala,3917,5280,220319,2049812116,7078632,2232769,42785740
Emacs Lisp,2494,5442,120233,752504070,1986759,482119,7422225
Matlab,1193,1319,46700,1085096370,72079,62509,158291
R,1270,1427,54519,468167016,309858,505880,1672726
D,632,862,37312,241841027,681505,250836,1645717
Go,2098,2703,67978,187193255,256700,102564,1818717
Scheme,513,639,13663,72045698,21155,10455,68822
Prolog,348,370,8727,72146539,11139,7367,19919
Groovy,2016,2521,72956,574833632,363475,291723,1004532
Lua,1958,2635,80397,650594793,327944,285279,1204693
F#,247,308,7328,26022927,37464,22101,165499
ASP,331,343,7179,252307183,8579,3222,13131
Racket,209,251,9882,43784375,99786,11336,420835
Delphi,393,457,16373,71006665,73614,26353,219599
OCaml,486,617,30478,73004560,319100,103136,1328123
Visual Basic,604,644,11786,230206295,45976,54916,1171432
Dart,170,201,7938,16189881,12568,6111,41304
Common Lisp,1040,1276,25488,153686915,58484,23843,259049
Standard ML,61,65,3135,21666857,4563,31125,11506
Parrot,10,15,2080,55769540,15189,23082,48493
OpenEdge ABL,54,57,1739,49966834,3626,1030,4559
Objective-J,102,181,10661,21997432,1282363,1452361,8895754
Coq,71,93,2996,31688690,9235,2456,22980
Puppet,858,1907,43010,66283960,190067,28598,403143
PowerShell,290,406,9624,8156801,112886,46604,666368
Kotlin,24,27,1179,686112,1521,9,5662
Julia,44,83,11215,1583306391,1364688,1019881,11086989
HaXe,317,409,15401,49583778,35339,35812,240155
Arduino,750,838,13963,12248914,26901,7848,71069
DCPU-16 ASM,64,106,5254,1880420,31655,15906,187252
Verilog,176,197,6397,99920312,11843,2847,36404
Tcl,275,291,16439,62194046,23822,32245,57895
FORTRAN,316,395,11716,91065624,58746,43864,132804
Rust,117,191,19261,34670671,1614242,5785371,13095706
VHDL,157,171,8176,209277722,22796,32377,154302
Opa,33,36,508,449420,1323,132,3179
ColdFusion,353,488,15898,101193417,198098,327276,541993
Smalltalk,89,130,7524,41136588,19007,42042,52021
Self,3,4,214,24649744,520,176,5815
ooc,42,49,1004,836009,1388,57,3500
Vala,139,177,6335,15448368,13119,9504,40010
Nemerle,29,45,2144,39572900,42118,95901,136276
Ada,91,102,2824,5058731,3088,91,6082
Elixir,50,77,6780,6978178,226400,69320,2856113
Gosu,26,30,377,2468360,1238,327,2457
Pure Data,87,94,1557,15257940,2173,794,6465
SuperCollider,70,76,2394,6435122,2225,246,6710
AutoHotkey,127,142,3046,5271830,14534,2765,20956
Apex,100,125,3126,2462628,21235,17910,42372
Eiffel,49,68,2491,39302909,5057,2474,8139
XQuery,62,73,2223,1912620,6772,23843,18707
Arc,22,29,520,21215642,6368,3095,47314
Mirah,15,15,850,505590,1047,80,3760
Turing,18,20,465,1037527,3829,1091,20826
Io,55,62,1198,662471,1604,687,2392
Dylan,28,42,1124,730212,6201,23881,31874
Nimrod,11,15,941,1127970,8074,8731,46212
Factor,28,36,2270,997948,92847,267894,292604
Ioke,4,4,129,119984,129,0,135
Fancy,7,7,528,145284,3288,1633,59162
Rebol,9,11,206,315304,1598,822,9318
Max/MSP,7,8,554,24145129,554,1353,896
Nu,8,8,46,15448,88,0,779
Boo,15,23,408,528706,957,119,2293
Augeas,3,8,157,35184,1726,79,3877
Bro,6,8,122,22516,120,0,167
Logtalk,4,4,381,295392,486,0,1710
Powershell,3,3,12,1944,15,51,36
DCPU-16 Assembly,2,2,6,756,0,0,6
eC,2,2,9,17484,33,0,39
Fantom,3,3,18,9708,9,0,18
