repository_language,type,active_repos_by_url,events,year,quarter
Python,PushEvent,50607,1287025,2012,2
JavaScript,PushEvent,84893,2342847,2012,2
Matlab,PushEvent,1070,38719,2012,2
VimL,WatchEvent,2147,41114,2012,2
Ruby,PushEvent,76900,1600014,2012,2
PHP,PushEvent,42745,1235762,2012,2
PHP,WatchEvent,18353,209407,2012,2
Shell,PushEvent,16721,380438,2012,2
JavaScript,IssuesEvent,8962,193263,2012,2
JavaScript,WatchEvent,37765,954894,2012,2
C,PushEvent,24080,816514,2012,2
Haskell,IssuesEvent,302,5748,2012,2
D,PushEvent,680,20311,2012,2
Java,PushEvent,50334,1685179,2012,2
Ruby,IssuesEvent,5454,81854,2012,2
C++,PushEvent,21468,804983,2012,2
Python,WatchEvent,19922,255056,2012,2
Objective-C,PushEvent,11778,218351,2012,2
Clojure,ForkEvent,666,4695,2012,2
Java,WatchEvent,15069,158117,2012,2
Puppet,PushEvent,1570,26618,2012,2
Perl,PushEvent,8266,188953,2012,2
Objective-C,WatchEvent,8423,221956,2012,2
Ruby,WatchEvent,23349,387281,2012,2
Haskell,PushEvent,3329,75254,2012,2
Scala,WatchEvent,1656,27593,2012,2
Erlang,PushEvent,1824,43049,2012,2
Python,ForkEvent,11555,84151,2012,2
C#,ForkEvent,2666,22084,2012,2
Scala,PushEvent,3864,107164,2012,2
R,PushEvent,1153,32086,2012,2
C#,PushEvent,12708,296318,2012,2
Shell,WatchEvent,4078,53495,2012,2
Emacs Lisp,PushEvent,4178,78611,2012,2
C,IssuesEvent,1892,49884,2012,2
Groovy,PushEvent,1869,39756,2012,2
VimL,PushEvent,11117,197578,2012,2
CoffeeScript,PushEvent,4015,90799,2012,2
PHP,IssuesEvent,4680,82715,2012,2
Perl,IssuesEvent,631,9260,2012,2
C,WatchEvent,9664,119488,2012,2
Matlab,WatchEvent,185,896,2012,2
JavaScript,ForkEvent,23146,225111,2012,2
C,ForkEvent,6297,49843,2012,2
C++,IssuesEvent,1722,38454,2012,2
CoffeeScript,WatchEvent,1533,40112,2012,2
Elixir,PushEvent,69,2383,2012,2
Shell,ForkEvent,2803,21833,2012,2
VimL,ForkEvent,1252,11047,2012,2
C#,IssuesEvent,1155,23541,2012,2
Java,ForkEvent,10904,88660,2012,2
Puppet,ForkEvent,317,2623,2012,2
Clojure,IssuesEvent,269,3499,2012,2
Ruby,ForkEvent,15144,140131,2012,2
Clojure,WatchEvent,1419,24304,2012,2
Visual Basic,PushEvent,459,6492,2012,2
PHP,ForkEvent,9786,79819,2012,2
C++,WatchEvent,7200,92757,2012,2
Lua,PushEvent,1925,48951,2012,2
C++,ForkEvent,4236,33781,2012,2
Standard ML,PushEvent,55,2561,2012,2
Delphi,PushEvent,326,11192,2012,2
Java,IssuesEvent,4305,91675,2012,2
Lua,WatchEvent,885,7451,2012,2
Python,IssuesEvent,5263,86314,2012,2
Objective-C,ForkEvent,4869,47279,2012,2
Go,PushEvent,2007,39260,2012,2
VHDL,PushEvent,128,6990,2012,2
C#,WatchEvent,4542,51354,2012,2
Common Lisp,PushEvent,813,14486,2012,2
ASP,PushEvent,246,5791,2012,2
OCaml,PushEvent,448,17733,2012,2
Perl,WatchEvent,2392,20411,2012,2
PowerShell,WatchEvent,76,1229,2012,2
Scheme,PushEvent,443,10204,2012,2
Eiffel,PushEvent,55,1762,2012,2
Tcl,PushEvent,254,5532,2012,2
ActionScript,PushEvent,1747,39101,2012,2
Prolog,PushEvent,298,6667,2012,2
OCaml,ForkEvent,92,411,2012,2
Clojure,PushEvent,2764,58116,2012,2
Go,WatchEvent,1020,12834,2012,2
R,WatchEvent,334,2905,2012,2
Visual Basic,IssuesEvent,36,294,2012,2
CoffeeScript,ForkEvent,1096,7886,2012,2
Racket,PushEvent,204,8268,2012,2
