repository_language,type,active_repos_by_url,events,year,quarter
JavaScript,PushEvent,323938,3461415,2014,4
Emacs Lisp,PushEvent,9978,72324,2014,4
Scala,PushEvent,10853,116911,2014,4
Python,WatchEvent,49868,285045,2014,4
CSS,PushEvent,164585,1810013,2014,4
PHP,WatchEvent,35499,168816,2014,4
C#,PushEvent,56062,558332,2014,4
Objective-C,WatchEvent,18077,202462,2014,4
Ruby,PushEvent,132848,1106259,2014,4
PHP,PushEvent,138771,1391467,2014,4
C++,PushEvent,86505,1013761,2014,4
JavaScript,ForkEvent,65162,252012,2014,4
JavaScript,WatchEvent,92905,897401,2014,4
Objective-C,ForkEvent,12272,47817,2014,4
Java,PushEvent,222852,2323315,2014,4
C,PushEvent,73075,804339,2014,4
Shell,PushEvent,65670,592046,2014,4
Python,PushEvent,164852,1654226,2014,4
Shell,WatchEvent,15192,77166,2014,4
Java,ForkEvent,46140,160578,2014,4
Ruby,IssuesEvent,11998,62025,2014,4
R,PushEvent,34268,163807,2014,4
CoffeeScript,PushEvent,14302,111910,2014,4
Objective-C,PushEvent,36568,249427,2014,4
F#,PushEvent,1214,12639,2014,4
Ruby,ForkEvent,24508,70033,2014,4
VimL,PushEvent,22450,131261,2014,4
CoffeeScript,WatchEvent,5056,39245,2014,4
Java,WatchEvent,49249,307325,2014,4
JavaScript,IssuesEvent,36313,221406,2014,4
Scala,IssuesEvent,1209,8321,2014,4
Go,PushEvent,22264,196130,2014,4
CSS,WatchEvent,18997,177157,2014,4
Lua,PushEvent,8123,80183,2014,4
C++,IssuesEvent,6384,72690,2014,4
Clojure,PushEvent,6840,50208,2014,4
Perl,PushEvent,16188,124818,2014,4
C,WatchEvent,24179,149903,2014,4
Groovy,PushEvent,5041,37849,2014,4
Python,ForkEvent,36874,105965,2014,4
Go,WatchEvent,9756,124950,2014,4
C++,ForkEvent,18903,57173,2014,4
C++,WatchEvent,22093,127370,2014,4
Visual Basic,PushEvent,2634,19058,2014,4
Go,ForkEvent,5177,19051,2014,4
Processing,PushEvent,2368,16521,2014,4
Python,IssuesEvent,16629,105104,2014,4
PHP,ForkEvent,28760,79882,2014,4
Swift,PushEvent,11138,64575,2014,4
Shell,ForkEvent,11655,31517,2014,4
C#,ForkEvent,11510,34976,2014,4
Perl,WatchEvent,3640,11763,2014,4
Ruby,WatchEvent,30485,180468,2014,4
C,ForkEvent,20144,64728,2014,4
Puppet,PushEvent,4576,34578,2014,4
Java,IssuesEvent,16489,109973,2014,4
Arduino,ForkEvent,897,1787,2014,4
Rust,PushEvent,4383,50757,2014,4
Puppet,WatchEvent,917,1922,2014,4
PHP,IssuesEvent,14042,82445,2014,4
CoffeeScript,IssuesEvent,2365,12408,2014,4
PureScript,PushEvent,250,1709,2014,4
Makefile,PushEvent,5251,30492,2014,4
Elixir,PushEvent,1210,8383,2014,4
CSS,ForkEvent,16223,79721,2014,4
C#,WatchEvent,13800,65949,2014,4
C,IssuesEvent,5746,35881,2014,4
SQF,PushEvent,598,13358,2014,4
C#,IssuesEvent,4980,33995,2014,4
FORTRAN,PushEvent,1186,12264,2014,4
XSLT,ForkEvent,368,1404,2014,4
Makefile,ForkEvent,573,1531,2014,4
Rust,WatchEvent,1183,13443,2014,4
NetLogo,PushEvent,88,1189,2014,4
Scala,WatchEvent,3607,25646,2014,4
Assembly,WatchEvent,592,2257,2014,4
Arduino,PushEvent,5307,25115,2014,4
Objective-C++,WatchEvent,187,1942,2014,4
TeX,WatchEvent,1739,7243,2014,4
TeX,ForkEvent,1474,3706,2014,4
Matlab,PushEvent,6052,54533,2014,4
Haskell,PushEvent,8789,75858,2014,4
Erlang,PushEvent,2961,26327,2014,4
Matlab,IssuesEvent,257,1591,2014,4
Go,IssuesEvent,2425,15079,2014,4
TeX,PushEvent,13329,156070,2014,4
Tcl,PushEvent,562,22405,2014,4
Objective-J,PushEvent,78,899,2014,4
Swift,WatchEvent,2609,43215,2014,4
Erlang,IssuesEvent,341,1397,2014,4
ASP,PushEvent,1862,17905,2014,4
Shell,IssuesEvent,4555,16323,2014,4
Haxe,WatchEvent,589,2875,2014,4
Objective-C,IssuesEvent,3703,17913,2014,4
OCaml,PushEvent,1778,21595,2014,4
ATS,PushEvent,16,755,2014,4
Haskell,WatchEvent,2689,11350,2014,4
Clojure,WatchEvent,3155,22227,2014,4
CSS,IssuesEvent,8745,45808,2014,4
ActionScript,PushEvent,1957,16340,2014,4
Matlab,ForkEvent,1059,2129,2014,4
Elixir,WatchEvent,475,3526,2014,4
Matlab,WatchEvent,1103,2734,2014,4
R,ForkEvent,2703,17437,2014,4
Haskell,ForkEvent,1451,3001,2014,4
XSLT,PushEvent,2217,21096,2014,4
R,WatchEvent,2646,8362,2014,4
ActionScript,WatchEvent,966,2995,2014,4
Common Lisp,PushEvent,1483,12494,2014,4
Cuda,WatchEvent,74,378,2014,4
Scala,ForkEvent,2387,8350,2014,4
Scheme,WatchEvent,522,1376,2014,4
DM,PushEvent,394,10534,2014,4
CoffeeScript,ForkEvent,3311,11133,2014,4
AGS Script,ForkEvent,67,405,2014,4
Mathematica,PushEvent,567,18640,2014,4
