repository_language,active_repos_by_name,active_repos_by_url,year,quarter
Objective-C,40891,58460,2014,2
C++,65213,91602,2014,2
JavaScript,263249,378712,2014,2
Python,124860,195631,2014,2
LiveScript,302,382,2014,2
Puppet,3287,6489,2014,2
Ruby,104459,192945,2014,2
C#,44987,57243,2014,2
Erlang,2992,4701,2014,2
Matlab,4674,5828,2014,2
VimL,5843,24297,2014,2
Java,173838,226934,2014,2
PHP,111328,163853,2014,2
C,58979,96106,2014,2
Common Lisp,1598,1932,2014,2
TeX,8942,11525,2014,2
Rust,1103,2171,2014,2
Haskell,6805,10075,2014,2
Emacs Lisp,3611,9165,2014,2
R,13385,36539,2014,2
CSS,121103,149270,2014,2
Go,13436,21612,2014,2
SQL,1981,2297,2014,2
CoffeeScript,11690,16191,2014,2
TypeScript,2197,3619,2014,2
Arduino,4308,5008,2014,2
Perl,14112,18965,2014,2
Propeller Spin,11,27,2014,2
Groovy,5275,6350,2014,2
Cuda,198,228,2014,2
Shell,37813,70262,2014,2
Tcl,555,644,2014,2
Objective-C++,401,553,2014,2
Lua,6103,8545,2014,2
Julia,910,1521,2014,2
Scheme,1305,1904,2014,2
Assembly,1853,2267,2014,2
Vala,252,339,2014,2
Clojure,6123,8716,2014,2
Haxe,998,1520,2014,2
D,1669,2370,2014,2
Logos,342,440,2014,2
ActionScript,3001,3485,2014,2
BlitzBasic,177,299,2014,2
Ceylon,32,45,2014,2
Elixir,652,1122,2014,2
Visual Basic,2122,2424,2014,2
XSLT,1571,2168,2014,2
Scala,8636,13410,2014,2
Dart,1461,2017,2014,2
FORTRAN,1101,1393,2014,2
XML,84,90,2014,2
AutoHotkey,393,496,2014,2
Verilog,637,738,2014,2
F#,871,1209,2014,2
ASP,1598,1739,2014,2
AspectJ,63,65,2014,2
PowerShell,1874,2386,2014,2
Kotlin,105,125,2014,2
Apex,445,510,2014,2
Objective-J,68,101,2014,2
Standard ML,222,289,2014,2
DM,119,435,2014,2
OCaml,1397,1968,2014,2
nesC,217,315,2014,2
Pascal,1114,1258,2014,2
Max,297,317,2014,2
SourcePawn,123,142,2014,2
Processing,1944,2244,2014,2
Arc,35,47,2014,2
Perl,10485,12864,2014,3
R,9893,21778,2014,3
Ruby,74001,117021,2014,3
