repository_language,active_repos,month
JavaScript,117707,2014-03
PHP,55062,2014-03
Haxe,522,2014-03
CSS,54413,2014-03
C,30274,2014-03
Python,60144,2014-03
Objective-C,21240,2014-03
C++,29639,2014-03
Ruby,53731,2014-03
Perl,6885,2014-03
Java,83259,2014-03
Go,6029,2014-03
Shell,18611,2014-03
VimL,3275,2014-03
Scala,4210,2014-03
Matlab,2080,2014-03
Erlang,1632,2014-03
ActionScript,1500,2014-03
DM,57,2014-03
Arduino,1957,2014-03
D,820,2014-03
Pascal,535,2014-03
R,8326,2014-03
C#,19919,2014-03
Clojure,3022,2014-03
Rust,448,2014-03
TypeScript,1276,2014-03
CoffeeScript,5756,2014-03
Lua,3008,2014-03
Julia,477,2014-03
Visual Basic,965,2014-03
Emacs Lisp,2035,2014-03
Brightscript,16,2014-03
Dart,772,2014-03
Puppet,1863,2014-03
TeX,4282,2014-03
Tcl,199,2014-03
Haskell,3266,2014-03
ASP,623,2014-03
PowerShell,694,2014-03
Groovy,1948,2014-03
ColdFusion,196,2014-03
IDL,272,2014-03
Processing,812,2014-03
Assembly,870,2014-03
Racket,350,2014-03
XSLT,713,2014-03
FORTRAN,675,2014-03
Scheme,628,2014-03
xBase,27,2014-03
Verilog,325,2014-03
nesC,119,2014-03
Standard ML,108,2014-03
LiveScript,138,2014-03
Elixir,326,2014-03
OCaml,724,2014-03
XML,74,2014-03
Common Lisp,833,2014-03
Nimrod,56,2014-03
Gosu,88,2014-03
Pike,8,2014-03
Apex,211,2014-03
F#,416,2014-03
VHDL,320,2014-03
Max,110,2014-03
Pure Data,113,2014-03
HaXe,80,2014-03
AppleScript,215,2014-03
Factor,22,2014-03
BlitzBasic,95,2014-03
Ada,68,2014-03
XProc,6,2014-03
Prolog,86,2014-03
Lasso,22,2014-03
Eiffel,66,2014-03
Crystal,7,2014-03
Kotlin,53,2014-03
Objective-J,49,2014-03
Nemerle,52,2014-03
KRL,32,2014-03
Perl6,46,2014-03
Logos,165,2014-03
Vala,132,2014-03
AutoHotkey,182,2014-03
Coq,71,2014-03
Monkey,27,2014-03
Ceylon,29,2014-03
Agda,52,2014-03
DOT,159,2014-03
Idris,32,2014-03
XC,39,2014-03
Awk,66,2014-03
Boo,19,2014-03
ANTLR,25,2014-03
ooc,30,2014-03
Ragel in Ruby Host,10,2014-03
Parrot,15,2014-03
Self,8,2014-03
Smalltalk,82,2014-03
UnrealScript,43,2014-03
MoonScript,37,2014-03
OpenEdge ABL,109,2014-03
XQuery,61,2014-03
M,148,2014-03
NetLogo,43,2014-03
Bluespec,5,2014-03
Turing,14,2014-03
SuperCollider,54,2014-03
CLIPS,36,2014-03
Xtend,47,2014-03
Mirah,24,2014-03
COBOL,17,2014-03
Slash,36,2014-03
AutoIt,71,2014-03
REALbasic,11,2014-03
Io,42,2014-03
Oxygene,29,2014-03
eC,8,2014-03
Augeas,3,2014-03
Elm,52,2014-03
Nu,5,2014-03
Squirrel,43,2014-03
J,15,2014-03
Clean,13,2014-03
Fantom,27,2014-03
Java,71343,2014-02
Python,53686,2014-02
CSS,46550,2014-02
JavaScript,107254,2014-02
Ruby,49877,2014-02
C++,27405,2014-02
Perl,6323,2014-02
TypeScript,1069,2014-02
FORTRAN,469,2014-02
Scala,4097,2014-02
C#,16809,2014-02
PHP,54432,2014-02
VHDL,286,2014-02
C,26304,2014-02
Matlab,1828,2014-02
Objective-C,18195,2014-02
Erlang,1490,2014-02
TeX,3642,2014-02
Rust,379,2014-02
Go,5375,2014-02
VimL,3102,2014-02
Groovy,1759,2014-02
XQuery,69,2014-02
Scheme,613,2014-02
XML,47,2014-02
Shell,16626,2014-02
Puppet,1730,2014-02
Assembly,680,2014-02
Haskell,2974,2014-02
Delphi,57,2014-02
Pascal,426,2014-02
Emacs Lisp,1904,2014-02
Racket,314,2014-02
CoffeeScript,5064,2014-02
Clojure,2890,2014-02
Julia,459,2014-02
Arduino,1672,2014-02
nesC,111,2014-02
DOT,115,2014-02
F#,357,2014-02
Verilog,219,2014-02
ActionScript,1362,2014-02
R,3286,2014-02
