repository_language,type,active_repos,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
CSS,PushEvent,88486,1128323,14153507820,21318057,1303042,65206195
Matlab,PushEvent,3154,32389,1747746313,27222,41603,35844
R,PushEvent,10245,72830,1300795502,152365,108613,432256
C,PushEvent,40414,659818,65179457464,15706614,3639436,41956046
Java,PushEvent,111872,1662692,145611293871,24251128,7004855,49296629
Ruby,PushEvent,73707,1052455,17707264849,50924213,4258519,123067419
C,PullRequestEvent,4576,53546,8198214213,13494390,2738359,31069335
VimL,IssueCommentEvent,658,12012,43199702,1648727,242000,12294597
Rust,IssueCommentEvent,109,10906,2297169413,8082346,12935243,38703025
JavaScript,PushEvent,163524,2382868,56196573256,49889043,22647361,205544064
Ruby,DeleteEvent,8271,48363,1001633882,1368271,256816,4351155
C++,PushEvent,42908,741587,118375958847,13386180,5954507,37044753
C#,PullRequestEvent,2413,23446,2501345342,1741338,813768,4307878
PHP,CreateEvent,49322,141247,3079660779,1366310,1049467,3753433
Shell,PushEvent,29260,435159,25664876270,2865908,693301,6911013
CSS,CreateEvent,43951,93674,531098234,3468938,130415,9976958
C++,WatchEvent,13355,83264,6142699001,15543645,6148784,100732860
PHP,PushEvent,77661,1110235,30591141244,20162822,8917860,47858371
C,IssueCommentEvent,5114,142428,20639880252,33977531,13152109,105975522
JavaScript,IssuesEvent,29550,298102,6908654433,68326477,95381673,286303265
JavaScript,WatchEvent,70154,740318,10234171171,264388399,30757958,1405698587
Python,PushEvent,86044,1350201,78785495404,22931117,9036332,61180120
C++,IssueCommentEvent,4775,145677,20548192155,32834043,18710401,99471447
C#,CreateEvent,16580,35509,1808400324,316114,142754,796570
VimL,PushEvent,4273,118671,341927562,378607,53878,2351317
JavaScript,CreateEvent,89095,265199,5423796568,5547572,1475031,26427605
JavaScript,IssueCommentEvent,24991,512647,17941255209,220735569,56823163,975489637
Python,CreateEvent,40926,135589,3377952190,1475897,807055,4218149
Verilog,PushEvent,392,4461,65531004,4532,3111,6261
Java,DeleteEvent,9131,61138,14944805435,724861,346653,1830040
Java,IssuesEvent,13977,154805,8518038091,8783219,7014877,24544698
PHP,WatchEvent,26544,146567,1962860373,27897218,3643771,91646262
JavaScript,ForkEvent,51621,224389,4399139669,114156255,11767237,438570185
PHP,IssuesEvent,12576,138574,3108383676,15884656,7088787,40529484
C++,IssuesEvent,5602,66939,6141934980,6968988,5487285,28850271
C,DeleteEvent,4684,63936,12362558145,346154,154691,955185
TeX,PushEvent,6853,106477,4022498889,125243,266363,389855
Shell,ForkEvent,6970,27218,1007696706,6123057,500703,17387781
Java,WatchEvent,32612,178643,8629545905,31797926,4013221,84507326
C#,PushEvent,28158,334327,17165093260,3278986,1477951,7658113
C#,IssuesEvent,3484,38805,1803240152,1811063,1244001,5001791
JavaScript,PullRequestEvent,22761,220961,11614150988,52991518,12225115,193906859
Smalltalk,PushEvent,116,1388,14612581,2881,5933,4902
Ruby,CreateEvent,48817,185040,1936713181,2042439,398301,6839324
CSS,ForkEvent,11054,62008,1235012426,143081334,5223482,271547568
Lua,PushEvent,4391,58072,1020309677,302080,145232,632222
JavaScript,MemberEvent,8649,14198,119728175,36953,16033,181589
Shell,IssueCommentEvent,2762,45784,2457869063,10835540,1679883,39240420
R,ForkEvent,957,2765,37183054,111650,16318,228347
CSS,WatchEvent,13090,163863,2615312105,141401462,5029964,556030397
D,PullRequestEvent,126,1841,31840374,189273,27720,339484
Python,GollumEvent,5431,29998,951746676,1289857,2847885,3997743
Assembly,WatchEvent,396,2621,24408634,120560,14754,932304
Ruby,WatchEvent,27686,193175,4073244379,61682108,4960585,250802736
Ruby,ForkEvent,21696,80145,2854765963,37719533,2342147,102601673
CSS,PullRequestEvent,6761,67544,1040521339,28374996,1071519,68512953
Shell,CreateEvent,12899,35042,688636020,108511,28778,373553
R,IssuesEvent,691,6517,153487162,124392,92173,540971
Objective-C,PushEvent,25467,225964,3051666352,2093339,516065,11572825
Shell,PullRequestEvent,3027,24645,1340574907,3649470,543695,10296287
Groovy,IssuesEvent,506,3798,33025355,25567,21136,82769
Ruby,IssuesEvent,10116,90595,3061857947,33450400,3367520,103653386
C++,DeleteEvent,4075,34462,6446998482,395551,299225,2119117
Rust,PushEvent,593,18042,1276544627,2371865,3613749,11383596
Visual Basic,IssueCommentEvent,91,679,13807626,5460,5247,91575
C,CreateEvent,21288,104736,9910216987,719002,240047,2099728
Python,PullRequestEvent,12655,141687,6036873934,20413320,8160768,55406036
Dart,PushEvent,1186,16533,118372378,237998,167458,1556628
Java,GollumEvent,9456,50549,1879018725,1319097,751486,2906342
PHP,PullRequestEvent,11421,116785,5181626985,17182889,5440199,38347129
Ruby,PullRequestEvent,14140,149032,8316783511,74400655,4107371,152123917
Python,MemberEvent,3938,6737,40270880,12339,7602,47939
Shell,ReleaseEvent,595,1524,28825039,23213,3735,129344
Clojure,PushEvent,4029,43776,189187287,254359,112487,2387452
PHP,IssueCommentEvent,11279,258685,12098199262,65569895,28580772,164882359
JavaScript,CommitCommentEvent,5381,33814,1401064574,5399088,1032576,23277009
Python,IssuesEvent,14764,154683,3375028183,12453106,8015468,45351695
Standard ML,PushEvent,179,2899,40426895,2345,4973,9538
C#,IssueCommentEvent,2816,60749,3891106147,6224991,3658554,16493168
Shell,WatchEvent,8551,58350,1017157001,14254217,1539263,66536980
CoffeeScript,WatchEvent,4169,41850,174461687,5022757,1013915,36047009
