repository_language,active_repos,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
JavaScript,263249,5546535,167950450711,841559672,185674865,3869952232
CSS,121103,1959503,29533594663,692184057,36632544,1613191011
PHP,111328,2148025,77836166562,186479493,77114153,484475482
Java,173838,3333906,375531332266,185919390,128924060,420403528
Objective-C,40891,675664,9322074611,54098122,8129365,299585548
Ruby,104459,2264871,76928483534,555404051,43916238,1566027554
Clojure,6123,91679,439957604,3318288,1217643,24527915
Python,124860,2736573,100482947662,214897432,109073550,708078961
C#,44987,732039,44932807555,32054758,18902940,79891963
Perl,14112,199947,5940366413,4006360,1663798,10339630
Shell,37813,725327,38758991561,45343138,8416198,167145372
Erlang,2992,59009,1808296172,2753428,863871,9150985
C++,65213,1483962,208522113914,129547556,55384625,404739287
Go,13436,357606,3396288389,52140051,13667574,362567302
Emacs Lisp,3611,91311,1390446284,3171472,593700,10014650
C,58979,1425582,166892768367,114428168,36721945,409763429
CoffeeScript,11690,251660,6181140286,20489699,8013120,149394649
Pascal,1114,14597,893680429,78718,43540,212746
Scala,8636,241744,33621714704,31705355,9952885,92436085
Scheme,1305,17913,76760698,73457,26901,206581
Elixir,652,15686,172687261,1126967,129331,7767811
Matlab,4674,53722,3289976461,278776,267667,500457
D,1669,29635,645649990,1329937,403660,2511066
VimL,5843,181216,582378525,12038148,1189676,64753416
Rust,1103,76117,9760215070,25568521,26918194,124313132
TeX,8942,170518,6996607728,943755,683310,5134610
Arduino,4308,27699,94601944,121008,24073,274674
Julia,910,39564,1823087113,10224122,7585451,50612356
Groovy,5275,70440,631706353,551642,307646,1809868
Dart,1461,27983,262294180,896544,486987,4281996
Lua,6103,121057,3665597737,2028529,887434,4058063
TypeScript,2197,76573,5986315091,29536841,5704060,44277063
F#,871,21645,689823682,488884,206084,1368517
Haskell,6805,123974,846411869,2141821,2462613,12026565
DM,119,29587,13297011317,5072540,2459622,1594148
Visual Basic,2122,21761,381710525,55353,51683,674810
NetLogo,89,1568,12379842,1685,8794,3234
OCaml,1397,31628,555078188,523718,415692,1288578
Max,297,3536,164817088,9118,336741,21519
R,13385,213517,3352695856,115887055,2166172,3650570
DOT,230,2624,348173112,7420,2722,18244
Vala,252,6316,34923039,114379,94548,2063971
Processing,1944,16916,193832694,120704,19873,462141
PowerShell,1874,23582,186905862,372173,196966,1916155
Common Lisp,1598,17473,263407865,104879,50088,595806
OpenEdge ABL,258,3538,956017605,42565,6433,24974
XML,84,3614,272871061,50400,12490,21035
Puppet,3287,64709,694536548,692352,151667,783198
Slash,88,1241,71479108,5169,3507,4648
Haxe,998,24093,500014599,866587,811341,3484677
Xtend,92,2605,31787442,4269,34746,18166
Factor,11,1162,92385138,48278,189885,200901
HaXe,131,798,2065685,5214,2554,23341
Nimrod,112,2868,521296977,125130,326323,844669
XC,69,944,14082964,1418,207,1090
xBase,46,2767,820908091,5884,38598,5306
IDL,726,7492,643424747,190775,411788,913485
M,309,2162,43815902,5214,2662,29615
Ada,174,2097,13142170,1425,1448,3026
Logos,342,5135,86758646,263996,4078,169143
COBOL,30,1202,117630980,2656,2490,4685
Assembly,1853,20964,672593688,286492,163093,1546450
Verilog,637,7116,122419103,20609,6213,42583
VHDL,671,8256,196411585,9307,10403,15428
BlitzBasic,177,4773,142487165,50113,13237,39460
Standard ML,222,4184,93183195,15332,29884,55447
ASP,1598,20568,1712501302,53915,59462,60402
Agda,105,1524,3827826,3694,2337,15545
nesC,217,8665,1185109702,162263,94322,167225
Augeas,7,587,3725479,24522,5749,34712
XSLT,1571,31144,719595765,2378525,385806,1764175
AutoIt,161,2533,32633159,11030,8525,15738
Objective-J,68,3437,154834723,354434,215308,2135803
ColdFusion,486,7948,303440962,210873,627587,397403
ActionScript,3001,36409,1747530971,1379783,878731,6068517
AutoHotkey,393,4403,18026541,7081,8295,31374
CLIPS,21,390,1010808,2,2,217
Apex,445,5440,38071283,40352,239050,49618
Pure Data,196,1225,22667731,1455,517,3339
Racket,676,9859,424575501,267515,71132,1023897
Eiffel,111,7995,509403818,232203,1389390,183844
Bluespec,6,802,18805262,1613,1936,2126
FORTRAN,1101,18140,820719037,86812,68543,201089
Lasso,45,1233,20607275,45591,3940,21799
Parrot,13,266,19917446,5827,4977,15046
Perl6,72,1519,23555927,116318,12186,386408
UnrealScript,72,1108,96371526,373,699,673
XQuery,148,2390,17577464,12016,27978,24913
Squirrel,89,873,2382929,3241,528,6497
SuperCollider,104,975,15869187,1400,8560,4183
Scilab,76,420,35433295,1584,172,1670
LiveScript,302,7839,241498394,101684,65002,628081
eC,4,113,1882939,110,486,329
Tcl,555,5368,146385765,14837,6820,33968
Smalltalk,156,5996,88476254,18767,98029,40854
Elm,112,1653,4753609,28482,3131,46812
Oxygene,15,79,102251,225,14,88
Fantom,8,183,2806778,95,371,341
Dylan,27,1048,63343647,14018,62686,57499
ANTLR,60,706,1267717,76,75,339
Gosu,145,2880,13433869,9371,8763,12996
Boo,20,229,10321090,74,289,341
Prolog,342,2166,9158152,2021,9881,4138
AppleScript,490,3531,10309651,13980,2307,69865
Glyph,17,128,41007689,199,9,284
Idris,73,982,211658,1047,166,10923
KRL,11,945,2019554,736,3825,2552
Io,59,443,48213101,20711,20833,215337
Ceylon,32,1062,3804410,10720,27502,15866
Nemerle,79,2300,172611901,46627,64309,176878
Brightscript,36,778,6655881,4991,8463,11834
Bro,32,194,395103,100,548,514
Arc,35,509,20602117,17265,1124,99527
Crystal,13,639,10277177,16623,11111,317176
Volt,9,110,72185,67,0,115
