repository_language,active_repos_by_name,active_repos_by_url,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
Java,81153,119007,1639861,36644707177,49082401,192851498,127679537
PHP,61631,92585,1314365,20013745096,88706483,40741320,257159099
Shell,17703,33250,364316,11521876013,16535452,5202929,70306664
Python,64761,96899,1335184,13472083044,56323754,28334939,214398916
Objective-C,25613,33711,423138,3981378236,23496572,3757022,135299491
JavaScript,148189,201182,3114096,30080497238,544810906,116061012,2680675058
C,34707,53650,761858,25610361100,34774628,15199658,116816565
C++,31483,43416,728988,37297166960,33500714,39694265,112789411
Erlang,2148,3729,40147,66728443,1287421,260187,5093703
Ruby,76455,134885,1520903,7986933459,280980845,32479631,994436577
Haskell,3749,5418,61677,126118495,635514,861439,3540773
Perl,10992,15611,155674,1347778726,1858280,1433310,7670023
C#,19139,26255,299421,6510639055,12846275,21209038,43173480
Scala,4917,7183,120932,1392338548,7981047,2161902,34757860
VHDL,231,263,4137,129309371,75209,250850,226497
Emacs Lisp,3077,7298,66865,435687982,1188255,336905,4505574
TypeScript,170,305,5953,102333660,745545,578060,2020526
CoffeeScript,6341,7872,124911,154333718,8180763,2713229,62456443
VimL,4433,17782,133903,234279306,4410258,747265,31266978
OCaml,727,1091,17575,942699999,253126,161316,803231
Dart,588,776,12743,14969080,84029,166753,415634
Scheme,660,824,7841,30300466,11918,5567,53527
Matlab,1453,1683,25696,4994136015,25429,29464,60740
Arduino,1475,1775,10288,20037676,34410,13758,97505
Lua,3238,4664,61964,899000124,917626,419016,1962477
Puppet,1600,3673,29286,48557172,197195,44215,256676
R,2409,2723,34417,336940340,241827,197586,1116116
PowerShell,619,829,7070,30915475,77121,54460,419805
Go,3753,5469,67196,178903758,1107407,431227,7483994
ActionScript,2705,3274,34363,871335098,1032752,538630,4356430
Assembly,834,1012,8927,88074979,72969,41460,475734
FORTRAN,468,564,6958,365504480,39115,52382,158874
Clojure,3421,5162,59101,695856281,1473348,390735,9784785
CLIPS,7,8,93,77084,2,22,18
OpenEdge ABL,92,107,2049,35811090,6610,20762,28272
Lasso,198,260,2498,17041246,893184,248574,962521
Common Lisp,1236,1518,12322,63527979,33623,26010,175796
Tcl,287,318,2803,22430480,2935,11173,21676
Eiffel,59,95,1345,16590944,3340,11571,5525
