Year,Name,Chief developer Company,Predecessor(s)
1950,Short Code,William F Schmidt Albert B. Tonik [3] J.R. Logan,Brief Code
1950,Birkbeck Assembler,Kathleen Booth,ARC
1950,Assembly,Kathleen Booth,ARC
1951,Superplan,Heinz Rutishauser,Plankalkül
1951,ALGAE,Edward A Voorhees and Karl Balke,*
1951,Intermediate Programming Language,Arthur Burks,Short Code
1951,Regional Assembly Language,Maurice Wilkes,EDSAC
1951,Assembly,Maurice Wilkes,EDSAC
1951,Boehm unnamed coding system,Corrado Böhm,CPC Coding scheme
1951,Klammerausdrücke,Konrad Zuse,Plankalkül
1951,OMNIBAC Symbolic Assembler,Charles Katz,Short Code
1951,Stanislaus (Notation),Fritz Bauer,*
1951,Whirlwind assembler,Charles Adams and Jack Gilmore at MIT Project Whirlwind,EDSAC
1951,Rochester assembler,Nat Rochester,EDSAC
1951,Sort Merge Generator,Betty Holberton,*
1952,A-0,Grace Hopper,Short Code
1952,Autocode,Alick Glennie after Alan Turing,CPC Coding scheme
1952,Editing Generator,Milly Koss,SORT/MERGE
1952,COMPOOL,RAND/SDC,*
1953,Speedcoding,John W. Backus,*
1953,READ/PRINT,Don Harroff James Fishman George Ryckman,*
1954,Laning and Zierler system,Laning Zierler Adams at MIT Project Whirlwind,*
1954,Mark I Autocode,Tony Brooker,Glennie Autocode
1954,Fortran (concept),Team led by John W. Backus at IBM,Speedcoding
1954,Fortran,Team led by John W. Backus at IBM,Speedcoding
1954,ARITH-MATIC,Team led by Grace Hopper at UNIVAC,A-0
1954,MATH-MATIC,Team led by Charles Katz,A-0
1954,MATRIX MATH,H G Kahrimanian,*
1954,IPL I (concept),Allen Newell Cliff Shaw Herbert A. Simon,*
1955,FLOW-MATIC,Team led by Grace Hopper at UNIVAC,A-0
1955,BACAIC,M. Grems and R. Porter,
1955,PACT I,SHARE,FORTRAN A-2
1955,Sequentielle Formelübersetzung,Fritz Bauer and Karl Samelson,Boehm
1955,IT,Team led by Alan Perlis,Laning and Zierler
1955,PRINT,IBM,
1958,IPL II (implementation),Allen Newell Cliff Shaw Herbert A. Simon,IPL I
1956,LISP (concept),John McCarthy,IPL
1957,COMTRAN,Bob Bemer,FLOW-MATIC
1957,Fortran I (implementation),John W. Backus at IBM,FORTRAN
1957,UNICODE,Remington Rand UNIVAC,MATH-MATIC
1957,COMIT (concept),*
1958,Fortran II,Team led by John W. Backus at IBM,FORTRAN I
1958,ALGOL 58 (IAL),ACM/GAMM,FORTRAN IT Sequentielle Formelübersetzung
1958,IPL V,Allen Newell Cliff Shaw Herbert A. Simon,IPL II
1959,FACT,Fletcher R. Jones Roy Nutt Robert L. Patrick,*
1959,COBOL (concept),The CODASYL Committee,FLOW-MATIC COMTRAN FACT
1959,JOVIAL,Jules Schwartz at SDC,ALGOL 58
1959,LISP (implementation),John McCarthy,IPL
1959,MAD – Michigan Algorithm Decoder,Bruce Arden Bernard Galler and Robert M. Graham,ALGOL 58
1959,TRAC (concept),Calvin Mooers,
1960,ALGOL 60,ALGOL 58
1960,COBOL 61 (implementation),The CODASYL Committee,FLOW-MATIC COMTRAN
1961,COMIT (implementation),*
1962,FORTRAN IV,IBM,FORTRAN II
1962,APL (concept),Kenneth E. Iverson,*
1962,Simula (concept),ALGOL 60
1962,SNOBOL,Ralph Griswold et al.,FORTRAN II COMIT
1963,CPL,Barron Christopher Strachey et al.,ALGOL 60
1963,SNOBOL3,Griswold et al.,SNOBOL
1963,ALGOL 68 (concept),Adriaan van Wijngaarden et al.,ALGOL 60
1963,JOSS I,Cliff Shaw RAND,ALGOL 58
1964,MIMIC,H. E. Petersen et al.,MIDAS
1964,COWSEL,Rod Burstall Robin Popplestone,CPL LISP
1964,PL/I (concept),IBM,ALGOL 60 COBOL FORTRAN
1964,BASIC,John George Kemeny and Thomas Eugene Kurtz at Dartmouth College,FORTRAN II JOSS
1964,IBM RPG,IBM,FARGO
1964,Mark-IV,Informatics,
1964,Speakeasy-2,Stanley Cohen at Argonne National Laboratory,Speakeasy
1964,TRAC (implementation),Calvin Mooers,
1964,P′′,Corrado Böhm,*
1964,IITRAN,
1965,RPG II,IBM,FARGO RPG
1965,MAD/I (concept),University of Michigan,MAD ALGOL 60 PL/I
1965,TELCOMP,BBN,JOSS
1965,Atlas Autocode,Tony Brooker Derrick Morris at Manchester University,Algol 60 Autocode
1966,JOSS II,Chuck Baker RAND,JOSS I
1966,ALGOL W,Niklaus Wirth C. A. R. Hoare,ALGOL 60
1966,FORTRAN 66,FORTRAN IV
1966,ISWIM (Concept),Peter J. Landin,LISP
1966,CORAL66,ALGOL 60
1966,APL (implementation)[4],Kenneth E. Iverson,*
1967,BCPL,Martin Richards,CPL
1967,MUMPS,Massachusetts General Hospital,FORTRAN TELCOMP
1967,Simula 67 (implementation),Ole-Johan Dahl Bjørn Myhrhaug Kristen Nygaard at Norsk Regnesentral,ALGOL 60
1967,InterLisp,D.G. Bobrow and D.L. Murphy,Lisp
1967,SNOBOL4,Ralph Griswold et al.,SNOBOL3
1967,XPL,William McKeeman et al. at University of California Santa Cruz California
J. J. Horning et al. at Stanford University,PL/I
1968,ALGOL 68 (UNESCO/IFIP standard),Adriaan van Wijngaarden Barry J. Mailloux John E. L. Peck and Cornelis H. A. Koster et al.,ALGOL 60
1968,POP-1,Rod Burstall Robin Popplestone,COWSEL
1968,DIBOL-8,DEC,DIBOL
1968,Forth (concept),Moore,
1968,LOGO,Seymour Papert,LISP
1968,MAPPER,Unisys,CRT RPS
1968,REFAL (implementation),Valentin Turchin,*
1968,TTM (implementation),Steven Caine and E. Kent Gordon California Institute of Technology,GAP GPM
1969,PL/I (implementation),IBM,ALGOL 60 COBOL FORTRAN
1969,B,Ken Thompson with contributions from Dennis Ritchie,BCPL
1969,PPL,Thomas A. Standish at Harvard University,
1969,SETL,Jack Schwartz at Courant Institute of Mathematical Sciences,
1969,TUTOR,Paul Tenczar & University of Illinois at Urbana-Champaign,
1969,Edinburgh IMP,Edinburgh University,Algol 60 Autocode Atlas Autocode
1970,Forth (implementation),Charles H. Moore,
1970,POP-2,POP-1
1970,Pascal,Niklaus Wirth Kathleen Jensen,ALGOL 60 ALGOL W
1970,BLISS,Wulf Russell Habermann at Carnegie Mellon University,ALGOL
1971,KRL,Daniel G. Bobrow at Xerox PARC Terry Winograd at Stanford University,KM FRL (MIT)
1971,Sue,Ric Holt et al. at University of Toronto,Pascal XPL
1971,CDL,Cornelis H.A. Koster at University of Nijmegen,
